Sample.ID,Molecule.List.Name,Molecule.Name,Experiment,Phase,Treatment,Bioreplicate,Slope,fmol.oncolumn.or.peak.area,value per cell ,bio.rep.value,LOD.fmol.column,LOQ.fmol.column,QC (LOD),QC (LOQ)
20230120_ER4_124_06_104,Osmolytes,Homarine,Deplete,Particulate,+,C,1839.399526,35.62032015,1420.203727,1407.346608,21.72206045,72.40686818, ,<LOQ
20230120_ER4_124_06_105,Osmolytes,Homarine,Deplete,Particulate,+,C,1839.399526,35.09188683,1394.48949,,21.72206045,72.40686818, ,<LOQ
20220318_smp_AG11185_44,Vitamins,B6,Deprived,Particulate,+,A,62179.67699,676.8652081,2949333.198,3111638.093,4.540068615,15.13356205, , 
20220318_smp_AG11185_45,Vitamins,B6,Deprived,Particulate,+,A,62179.67699,751.3624107,3273942.988,,4.540068615,15.13356205, , 
20220318_smp_AG11186_57,Vitamins,B6,Deprived,Particulate,+,B,62179.67699,420.4642942,1832106.728,1869031.714,4.540068615,15.13356205, , 
20220318_smp_AG11186_58,Vitamins,B6,Deprived,Particulate,+,B,62179.67699,437.4126936,1905956.701,,4.540068615,15.13356205, , 
20220318_smp_AG11187_60,Vitamins,B6,Deprived,Particulate,+,C,62179.67699,573.3181278,2498143.157,2326271.962,4.540068615,15.13356205, , 
20220318_smp_AG11187_61,Vitamins,B6,Deprived,Particulate,+,C,62179.67699,494.4300371,2154400.766,,4.540068615,15.13356205, , 
20220318_smp_AG11188_63,Vitamins,B6,Deprived,Particulate,+,D,62179.67699,370.210093,1613131.987,1645366.814,4.540068615,15.13356205, , 
20220318_smp_AG11188_64,Vitamins,B6,Deprived,Particulate,+,D,62179.67699,385.0057311,1677601.642,,4.540068615,15.13356205, , 
20220325_smp_AG11181_17,Vitamins,B6,Deprived,Particulate,-,A,62179.67699,278.4808291,1213436.212,1151606.764,4.540068615,15.13356205, , 
20220325_smp_AG11181_18,Vitamins,B6,Deprived,Particulate,-,A,62179.67699,250.1013957,1089777.315,,4.540068615,15.13356205, , 
20220325_smp_AG11182_20,Vitamins,B6,Deprived,Particulate,-,B,62179.67699,289.67127,1262196.79,1193977.265,4.540068615,15.13356205, , 
20220325_smp_AG11182_21,Vitamins,B6,Deprived,Particulate,-,B,62179.67699,258.3588204,1125757.739,,4.540068615,15.13356205, , 
20220325_smp_AG11183_23,Vitamins,B6,Deprived,Particulate,-,C,62179.67699,287.0113334,1250606.537,1192573.35,4.540068615,15.13356205, , 
20220325_smp_AG11183_24,Vitamins,B6,Deprived,Particulate,-,C,62179.67699,260.3743664,1134540.162,,4.540068615,15.13356205, , 
20220325_smp_AG11184_26,Vitamins,B6,Deprived,Particulate,-,D,62179.67699,309.4190406,1348244.581,1400955.659,4.540068615,15.13356205, , 
20220325_smp_AG11184_27,Vitamins,B6,Deprived,Particulate,-,D,62179.67699,333.6131837,1453666.737,,4.540068615,15.13356205, , 
20220318_smp_AG11185_44,Vitamins,Niacin,Deprived,Particulate,+,A,3429.851918,1172.081797,5107161.241,5678886.979,1370.838208,4569.460694,<LOD,<LOD
20220318_smp_AG11185_45,Vitamins,Niacin,Deprived,Particulate,+,A,3429.851918,1434.50129,6250612.717,,1370.838208,4569.460694, ,<LOD
20220318_smp_AG11186_57,Vitamins,Niacin,Deprived,Particulate,+,B,3429.851918,900.6703712,3924528.835,3795186.416,1370.838208,4569.460694,<LOD,<LOD
20220318_smp_AG11186_58,Vitamins,Niacin,Deprived,Particulate,+,B,3429.851918,841.3027936,3665843.996,,1370.838208,4569.460694,<LOD,<LOD
20220318_smp_AG11187_60,Vitamins,Niacin,Deprived,Particulate,+,C,3429.851918,789.5037643,3440137.91,3671675.845,1370.838208,4569.460694,<LOD,<LOD
20220318_smp_AG11187_61,Vitamins,Niacin,Deprived,Particulate,+,C,3429.851918,895.7786148,3903213.78,,1370.838208,4569.460694,<LOD,<LOD
20220318_smp_AG11188_63,Vitamins,Niacin,Deprived,Particulate,+,D,3429.851918,601.6659172,2621664.17,2915469.051,1370.838208,4569.460694,<LOD,<LOD
20220318_smp_AG11188_64,Vitamins,Niacin,Deprived,Particulate,+,D,3429.851918,736.5210104,3209273.931,,1370.838208,4569.460694,<LOD,<LOD
20220325_smp_AG11181_17,Vitamins,Niacin,Deprived,Particulate,-,A,3429.851918,326.7625037,1423815.981,1328009.393,1370.838208,4569.460694,<LOD,<LOD
20220325_smp_AG11181_18,Vitamins,Niacin,Deprived,Particulate,-,A,3429.851918,282.7877189,1232202.804,,1370.838208,4569.460694,<LOD,<LOD
20220325_smp_AG11182_20,Vitamins,Niacin,Deprived,Particulate,-,B,3429.851918,365.1481259,1591075.265,1608507.926,1370.838208,4569.460694,<LOD,<LOD
20220325_smp_AG11182_21,Vitamins,Niacin,Deprived,Particulate,-,B,3429.851918,373.1496376,1625940.587,,1370.838208,4569.460694,<LOD,<LOD
20220325_smp_AG11183_23,Vitamins,Niacin,Deprived,Particulate,-,C,3429.851918,464.9611815,2025994.884,1915629.952,1370.838208,4569.460694,<LOD,<LOD
20220325_smp_AG11183_24,Vitamins,Niacin,Deprived,Particulate,-,C,3429.851918,414.304184,1805265.021,,1370.838208,4569.460694,<LOD,<LOD
20220325_smp_AG11184_26,Vitamins,Niacin,Deprived,Particulate,-,D,3429.851918,514.8784969,2243501.699,2269994.338,1370.838208,4569.460694,<LOD,<LOD
20220325_smp_AG11184_27,Vitamins,Niacin,Deprived,Particulate,-,D,3429.851918,527.0384971,2296486.978,,1370.838208,4569.460694,<LOD,<LOD
